New Mexico;83;[0, 3, 23, 24, 33, 34, 121]
Boise State;81;[1, 8, 15, 28, 29, 46, 96]
Oregon;72;[2, 4, 9, 22, 35, 60, 175]
Stanford;195;[5, 7, 44, 62, 77, 130, 157]
BYU;225;[6, 20, 47, 64, 88, 103, 176]
Portland;294;[10, 12, 31, 99, 142, 147, 180]
Washington;244;[11, 37, 55, 69, 72, 148, 159]
NC State;240;[13, 26, 59, 63, 79, 93, 105]
Southern Utah;432;[14, 87, 94, 114, 123, 166, 177]
Colorado;125;[16, 17, 18, 32, 42, 43, 109]
Oregon State;436;[19, 66, 101, 117, 133, 186, 206]
Furman;310;[21, 40, 49, 89, 111, 126, 138]
Iowa State;383;[25, 38, 73, 116, 131, 155, 156]
Wisconsin (WISC);365;[27, 67, 81, 92, 98, 198, 205]
Notre Dame (ND);425;[30, 58, 83, 84, 170, 171, 182]
Florida State;439;[36, 70, 95, 113, 125, 172, 185]
Arkansas;312;[39, 50, 51, 57, 115, 132, 134]
Florida;452;[41, 68, 86, 120, 137, 207, 211]
Michigan (MICH);311;[45, 48, 65, 75, 78, 97, 107]
Minnesota;572;[52, 53, 141, 161, 165, 188, 191]
Michigan State (MIST);406;[54, 71, 74, 85, 122, 144, 145]
Ole Miss;531;[56, 100, 118, 128, 129, 160, 181]
Indiana (IU);507;[61, 82, 102, 112, 150, 179, 195]
Texas;694;[76, 90, 158, 183, 187, 213, 216]
Oklahoma State;559;[80, 106, 108, 119, 146, 149, 190]
Villanova;623;[91, 110, 127, 143, 152, 168, 184]
Georgia Tech;697;[104, 124, 139, 163, 167, 193, 201]
Penn State;798;[135, 136, 162, 173, 192, 199, 215]
Princeton;762;[140, 151, 153, 154, 164, 174, 178]
Columbia;952;[169, 189, 194, 197, 203, 210, 214]
Dartmouth;1010;[196, 200, 202, 204, 208, 209, 212]
