Boise State;72;[0, 7, 14, 24, 27, 41, 81]
New Mexico;94;[1, 6, 25, 26, 36, 37, 125]
Oregon;60;[2, 3, 9, 17, 29, 52, 162]
Stanford;166;[4, 5, 40, 53, 64, 111, 142]
BYU;230;[8, 20, 50, 67, 85, 102, 174]
Portland;264;[10, 12, 28, 87, 127, 137, 166]
Washington;209;[11, 31, 46, 60, 61, 136, 147]
NC State;207;[13, 19, 51, 56, 68, 79, 95]
Oregon State;376;[15, 58, 86, 104, 113, 179, 205]
Furman;268;[16, 35, 43, 75, 99, 110, 117]
Southern Utah;443;[18, 84, 97, 115, 129, 164, 173]
Colorado;144;[21, 22, 23, 34, 44, 45, 105]
Wisconsin (WISC);403;[30, 74, 89, 103, 107, 201, 206]
Iowa State;442;[32, 49, 82, 135, 144, 161, 163]
Florida State;423;[33, 69, 93, 108, 120, 167, 184]
Arkansas;299;[38, 47, 48, 57, 109, 126, 128]
Notre Dame (ND);462;[39, 65, 92, 94, 172, 177, 186]
Florida;432;[42, 63, 77, 118, 132, 207, 208]
Michigan (MICH);354;[54, 59, 73, 80, 88, 106, 116]
Ole Miss;514;[55, 98, 114, 123, 124, 151, 178]
Michigan State (MIST);446;[62, 76, 78, 96, 134, 146, 150]
Minnesota;623;[66, 70, 148, 168, 171, 191, 193]
Indiana (IU);555;[71, 90, 112, 130, 152, 185, 198]
Texas;663;[72, 83, 149, 176, 183, 212, 215]
Oklahoma State;638;[91, 122, 131, 139, 155, 159, 192]
Villanova;660;[100, 121, 138, 145, 156, 175, 188]
Georgia Tech;670;[101, 119, 133, 157, 160, 187, 194]
Penn State;816;[140, 141, 165, 180, 190, 200, 216]
Princeton;777;[143, 153, 154, 158, 169, 181, 182]
Columbia;953;[170, 189, 195, 197, 202, 211, 214]
Dartmouth;1011;[196, 199, 203, 204, 209, 210, 213]
