Great Lakes Regional,1,491,Alicia Monson (JR),20:13.4,5:25,Wisconsin (WISC),20,13
Great Lakes Regional,2,325,Anna Rohrer (JR),20:20.1,5:27,Notre Dame (ND),20,20
Great Lakes Regional,3,276,Anne Forsyth (FR),20:32.5,5:30,Michigan (MICH),20,33
Great Lakes Regional,4,275,Avery Evenson (SR),20:36.1,5:32,Michigan (MICH),20,36
Great Lakes Regional,5,298,Annie Fuller (JR),20:41.1,5:33,Michigan State (MIST),20,41
Great Lakes Regional,6,319,Jacqueline Gaughan (FR),20:42.4,5:33,Notre Dame (ND),20,42
Great Lakes Regional,7,413,Emma Rafuse (SR),20:43.5,5:33,Purdue Fort Wayne (PFW),20,44
Great Lakes Regional,8,174,Margaret Allen (SR),20:44.3,5:34,Indiana (IU),20,44
Great Lakes Regional,9,281,Hannah Meier (SR),20:47.3,5:34,Michigan (MICH),20,47
Great Lakes Regional,10,141,Sydney Meyers (SR),20:47.5,5:34,Eastern Michigan (EMU),20,48
Great Lakes Regional,11,488,Amy Davis (JR),20:48.3,5:35,Wisconsin (WISC),20,48
Great Lakes Regional,12,297,Maggie Farrell (SO),20:51.5,5:36,Michigan State (MIST),20,51
Great Lakes Regional,13,302,Erin McDonald (SR),20:52.2,5:36,Michigan State (MIST),20,52
Great Lakes Regional,14,274,Camille Davre (FR),20:53.2,5:36,Michigan (MICH),20,53
Great Lakes Regional,15,137,Natalie Cizmas (SR),20:53.9,5:36,Eastern Michigan (EMU),20,54
Great Lakes Regional,16,272,Claire Borchers (SR),20:54.8,5:36,Michigan (MICH),20,55
Great Lakes Regional,17,430,Athena Welsh (JR),20:55.2,5:37,Toledo (TOLE),20,55
Great Lakes Regional,18,494,Shaelyn Sorensen (SR),20:56.2,5:37,Wisconsin (WISC),20,56
Great Lakes Regional,19,181,Katherine Receveur (SR),20:56.6,5:37,Indiana (IU),20,57
Great Lakes Regional,20,317,Rachel DaDamio (SR),20:57.5,5:37,Notre Dame (ND),20,58
Great Lakes Regional,21,320,Jessica Harris (SR),20:58.1,5:37,Notre Dame (ND),20,58
Great Lakes Regional,22,303,Jeralyn Poe (JR),20:59.1,5:38,Michigan State (MIST),20,59
Great Lakes Regional,23,31,Rachel Walny (SR),21:00.1,5:38,Bowling Green (BGSU),21,0
Great Lakes Regional,24,65,Megan O'Neil (SR),21:02.3,5:38,Central Michigan (CMU),21,2
Great Lakes Regional,25,492,Alissa Niggemann (SO),21:03.9,5:39,Wisconsin (WISC),21,4
Great Lakes Regional,26,379,Emily Stoodley (SR),21:04.9,5:39,Ohio State (OHST),21,5
Great Lakes Regional,27,487,Lucinda Crouch (FR),21:05.9,5:39,Wisconsin (WISC),21,6
Great Lakes Regional,28,279,Jessi Larson (FR),21:06.3,5:40,Michigan (MICH),21,6
Great Lakes Regional,29,48,Josephine Thestrup (JR),21:07.6,5:40,Butler (BUTL),21,8
Great Lakes Regional,30,175,Lexa Barrott (JR),21:08.0,5:40,Indiana (IU),21,8
Great Lakes Regional,31,392,Emma Benner (JR),21:09.1,5:40,Purdue (PURD),21,9
Great Lakes Regional,32,283,Anna West (JR),21:10.6,5:41,Michigan (MICH),21,11
Great Lakes Regional,33,177,Haley Harris (SR),21:14.4,5:42,Indiana (IU),21,14
Great Lakes Regional,34,104,Emily Borchers (SR),21:16.3,5:42,Dayton (DAYT),21,16
Great Lakes Regional,35,460,Sarah Anderson (SR),21:17.2,5:43,Western Michigan (WMU),21,17
Great Lakes Regional,36,378,Kalee Soehnlen (SO),21:18.0,5:43,Ohio State (OHST),21,18
Great Lakes Regional,37,299,India Johnson (SO),21:18.3,5:43,Michigan State (MIST),21,18
Great Lakes Regional,38,376,Julia Rizk (SR),21:18.4,5:43,Ohio State (OHST),21,18
Great Lakes Regional,39,111,Taylor Vernot (SR),21:21.8,5:44,Dayton (DAYT),21,22
Great Lakes Regional,40,253,Carly Davis (JR),21:22.8,5:44,Miami (Ohio)(MIAO),21,23
Great Lakes Regional,41,346,Maggie Schneider (SO),21:24.3,5:44,Oakland (OAKL),21,24
Great Lakes Regional,42,198,S. Brooke Moore (JR),21:25.5,5:45,Indiana State (INST),21,26
Great Lakes Regional,43,306,Amber Way (JR),21:26.0,5:45,Michigan State (MIST),21,26
Great Lakes Regional,44,261,Alesha Vovk (SR),21:26.7,5:45,Miami (Ohio)(MIAO),21,27
Great Lakes Regional,45,144,Emily Smith (JR),21:27.2,5:45,Eastern Michigan (EMU),21,27
Great Lakes Regional,46,301,Jenna Magness (FR),21:29.7,5:46,Michigan State (MIST),21,30
Great Lakes Regional,47,179,Bailey Hertenstein (FR),21:33.2,5:47,Indiana (IU),21,33
Great Lakes Regional,48,42,Angelina Ellis (SO),21:37.2,5:48,Butler (BUTL),21,37
Great Lakes Regional,49,394,Jenna Halderman (JR),21:38.7,5:48,Purdue (PURD),21,39
Great Lakes Regional,50,2,Mackenzie Andrews (JR),21:40.1,5:49,Akron (AKR),21,40
Great Lakes Regional,51,322,Annasophia Keller (SO),21:46.5,5:50,Notre Dame (ND),21,46
Great Lakes Regional,52,323,Claudia Magnussen (SO),21:47.0,5:51,Notre Dame (ND),21,47
Great Lakes Regional,53,561,Mikayla Fox,21:50.1,5:51,Wis.-Milwaukee (MILW),21,50
Great Lakes Regional,54,398,Rachel Yuska (SR),21:51.9,5:52,Purdue (PURD),21,52
Great Lakes Regional,55,528,Anna Kostarellis (SO),21:51.9,5:52,Xavier (Ohio)(XAVI),21,52
Great Lakes Regional,56,352,Alyssa Atkinson (SR),21:52.2,5:52,Ohio (OHIO),21,52
Great Lakes Regional,57,182,Hannah Stoffel (SO),21:53.0,5:52,Indiana (IU),21,53
Great Lakes Regional,58,318,Sydney Foreman (SR),21:53.7,5:52,Notre Dame (ND),21,54
Great Lakes Regional,59,423,Michelle Hostettler (SO),21:54.1,5:52,Toledo (TOLE),21,54
Great Lakes Regional,60,218,Morgan Fleming (FR),21:54.5,5:52,Iupui (IUPU),21,55
Great Lakes Regional,61,523,Jenna Clayworth (SO),21:55.0,5:53,Xavier (Ohio)(XAVI),21,55
Great Lakes Regional,62,466,Juliane Sormain (JR),21:55.5,5:53,Western Michigan (WMU),21,55
Great Lakes Regional,63,257,Maegan Murphy (JR),21:55.6,5:53,Miami (Ohio)(MIAO),21,56
Great Lakes Regional,64,139,Madison Distelrath (SO),21:56.7,5:53,Eastern Michigan (EMU),21,57
Great Lakes Regional,65,26,Sarah Hunsley (SO),21:58.1,5:54,Bowling Green (BGSU),21,58
Great Lakes Regional,66,510,Shelby Nolan (JR),22:00.0,5:54,Wright State (WRST),22,0
Great Lakes Regional,67,236,Mary Hanson (SR),22:01.1,5:54,Marquette (MARQ),22,1
Great Lakes Regional,68,424,Jennifer Lichter (SR),22:01.9,5:54,Toledo (TOLE),22,2
Great Lakes Regional,69,215,Libby Bowling (SO),22:03.5,5:55,Iupui (IUPU),22,4
Great Lakes Regional,70,390,Mary Abramson (SR),22:04.8,5:55,Purdue (PURD),22,5
Great Lakes Regional,71,45,Maddie Mclain (FR),22:05.4,5:55,Butler (BUTL),22,5
Great Lakes Regional,72,202,Alli Workman (JR),22:06.2,5:56,Indiana State (INST),22,6
Great Lakes Regional,73,426,Stephanie Sherman (JR),22:07.0,5:56,Toledo (TOLE),22,7
Great Lakes Regional,74,374,Sarah Kanney (SR),22:08.0,5:56,Ohio State (OHST),22,8
Great Lakes Regional,75,396,Megan Slamkowski (SO),22:09.4,5:56,Purdue (PURD),22,9
Great Lakes Regional,76,44,Margo Hornocker (FR),22:09.5,5:56,Butler (BUTL),22,10
Great Lakes Regional,77,397,Isabelle Sparreo (FR),22:09.9,5:56,Purdue (PURD),22,10
Great Lakes Regional,78,178,Kelsey Harris (JR),22:10.3,5:57,Indiana (IU),22,10
Great Lakes Regional,79,530,Jennie Prial (SO),22:10.7,5:57,Xavier (Ohio)(XAVI),22,11
Great Lakes Regional,80,429,Claire Steigerwald (FR),22:11.7,5:57,Toledo (TOLE),22,12
Great Lakes Regional,81,512,Aurora Turner (SR),22:11.9,5:57,Wright State (WRST),22,12
Great Lakes Regional,82,96,Anna Brandt (SO),22:12.8,5:57,Cleveland St. (CLST),22,13
Great Lakes Regional,83,495,Rachel Werking (SO),22:12.9,5:57,Wisconsin (WISC),22,13
Great Lakes Regional,84,4,Haley Hess (JR),22:13.1,5:58,Akron (AKR),22,13
Great Lakes Regional,85,64,Kirsten Olling (SR),22:13.7,5:58,Central Michigan (CMU),22,14
Great Lakes Regional,86,30,Katerina Shuble (FR),22:14.7,5:58,Bowling Green (BGSU),22,15
Great Lakes Regional,87,79,Hannah Markel (SO),22:19.1,5:59,Cincinnati (CINC),22,19
Great Lakes Regional,88,160,Anna Lowry (SO),22:19.3,5:59,Evansville (EVAN),22,19
Great Lakes Regional,89,255,Claire Linn (JR),22:19.5,5:59,Miami (Ohio)(MIAO),22,20
Great Lakes Regional,90,563,Emily Royston,22:20.8,5:59,Wis.-Milwaukee (MILW),22,21
Great Lakes Regional,91,372,Brittany Atkinson (SR),22:22.0,6:00,Ohio State (OHST),22,22
Great Lakes Regional,92,393,Gabrielle Broschard (SR),22:22.2,6:00,Purdue (PURD),22,22
Great Lakes Regional,93,46,Corinna Pena (FR),22:22.2,6:00,Butler (BUTL),22,22
Great Lakes Regional,94,489,Kristen Garcia (FR),22:22.6,6:00,Wisconsin (WISC),22,23
Great Lakes Regional,95,507,Hailey Brumfield (SR),22:23.8,6:00,Wright State (WRST),22,24
Great Lakes Regional,96,525,Maya Hannagan (FR),22:24.0,6:00,Xavier (Ohio)(XAVI),22,24
Great Lakes Regional,97,143,Ashleigh Simonis (SO),22:25.2,6:01,Eastern Michigan (EMU),22,25
Great Lakes Regional,98,422,Olivia Chinn (SR),22:25.3,6:01,Toledo (TOLE),22,25
Great Lakes Regional,99,9,Alyssa Thomas (SO),22:26.2,6:01,Akron (AKR),22,26
Great Lakes Regional,100,219,Katelyn Murphy (JR),22:28.0,6:02,Iupui (IUPU),22,28
Great Lakes Regional,101,341,Heather Czarnecki (SO),22:28.6,6:02,Oakland (OAKL),22,29
Great Lakes Regional,102,63,Morgan Merlino (SO),22:29.5,6:02,Central Michigan (CMU),22,30
Great Lakes Regional,103,108,Emily Sreenan (FR),22:30.1,6:02,Dayton (DAYT),22,30
Great Lakes Regional,104,125,Claire Kendell (SO),22:30.3,6:02,Detroit Mercy (DETM),22,30
Great Lakes Regional,105,8,Lindsey Scarton (SO),22:31.9,6:02,Akron (AKR),22,32
Great Lakes Regional,106,112,Kelly Wilker (SO),22:32.1,6:03,Dayton (DAYT),22,32
Great Lakes Regional,107,462,Maria McDaniel (SR),22:33.6,6:03,Western Michigan (WMU),22,34
Great Lakes Regional,108,465,Paisley Sipes (FR),22:34.4,6:03,Western Michigan (WMU),22,34
Great Lakes Regional,109,195,Jessi Conley (SR),22:35.5,6:03,Indiana State (INST),22,35
Great Lakes Regional,110,344,Maddi Leigh (SO),22:36.0,6:04,Oakland (OAKL),22,36
Great Lakes Regional,111,43,Camille Hines (SO),22:37.7,6:04,Butler (BUTL),22,38
