PL	NAME	YEAR	TEAM	Avg. Mile	TIME	SCORE
1	Malone, Shannon	SR-4	Syracuse	5:45.6	21:28.7	1
2	Morenaite, Egle	SO-2	Iona	5:48.6	21:39.9	2
3	Tertsch, Lisa	SO-2	Harvard	5:48.8	21:40.4	3
4	Kokes, Libby	SR-4	Columbia	5:49.6	21:43.6	4
5	Knibb, Taylor	JR-3	Cornell	5:51.1	21:49.0	5
6	Masterson, Andrea	SR-4	Yale	5:54.1	22:00.1	6
7	Gregoire, Erin	SR-4	Columbia	5:54.1	22:00.4	7
8	Wasserman, Katie	JR-3	Columbia	5:56.2	22:08.0	8
9	Kogan, Maria	SO-2	Columbia	5:56.4	22:09.0	9
10	Murphy, Glendora	SO-2	Dartmouth	5:56.5	22:09.1	10
11	Sapone, Lauren	JR-3	Dartmouth	5:56.9	22:10.7	11
12	McCormick, Morgan	FR-1	Yale	5:57.8	22:14.0	12
13	Hays, Alexandra	SO-2	Columbia	5:57.8	22:14.1	13
14	Fear, Georgia	JR-3	Dartmouth	5:57.9	22:14.4	14
15	Nuttall, Gemma	SO-2	Iona	5:58.4	22:16.2	15
16	Stevenson, Julia	JR-3	Dartmouth	5:58.5	22:16.8	16
17	Srour, Lucy	SR-4	Brown	5:58.7	22:17.6	17
18	Taylor, Annie	SR-4	Cornell	5:59.3	22:19.5	18
19	Quinn, Siobhan	SR-4	Canisius	5:59.5	22:20.5	19
20	DeLay, Kayley	SO-2	Yale	5:59.7	22:21.3	20
21	Malone, Mary	SR-4	Syracuse	5:59.8	22:21.6	21
22	Dobson, Isabella	SO-2	Cornell	6:00.0	22:22.3	22
23	Reinhardt, Hannah	JR-3	Albany	6:00.4	22:23.6	23
24	Gasparrini, Jenna	JR-3	Holy Cross	6:00.8	22:25.2	24
25	Murphy, Sophie	SO-2	Iona	6:01.2	22:26.8	25
26	Chau, Jocelyn	FR-1	Yale	6:01.5	22:27.9	26
27	Tedeschi, Gianna	SO-2	Marist	6:02.0	22:29.9	27
28	Rome, Regan	SR-4	Providence	6:02.3	22:30.9	28
29	Gillespie, Kathryn	JR-3	Harvard	6:02.5	22:31.6	29
30	Ghazarian, Sevanne	SO-2	Yale	6:03.6	22:35.7	30
31	Richards, Kaley	JR-3	UMass Lowell	6:03.8	22:36.4	31
32	Bonner, Rachel	SO-2	Syracuse	6:04.1	22:37.5	32
33	Wheeler, Abbey	JR-3	Providence	6:04.2	22:37.9	33
34	Todd, Gracie	SR-4	Cornell	6:04.3	22:38.3	34
35	Kearley, Julia	SR-4	Iona	6:04.6	22:39.3	35
36	Valentine, Samantha	SO-2	Brown	6:04.7	22:39.9	36
37	Anderson, Lillian	SR-4	Dartmouth	6:04.9	22:40.5	37
38	Lantz, Olivia	SR-4	Dartmouth	6:04.9	22:40.6	38
39	Smith, Maya	FR-1	Brown	6:05.3	22:41.9	39
40	McLaughlin, Abigail	JR-3	Columbia	6:05.5	22:42.6	40
41	Zammitti, Melissa	SO-2	Cornell	6:05.9	22:44.2	41
42	Ketchum, Ella	SO-2	Dartmouth	6:06.3	22:45.6	42
43	Duca, Paige	JR-3	Boston College	6:06.7	22:47.1	43
44	Jeffers, Carleen	SR-4	Brown	6:06.7	22:47.2	44
45	Hayes, Delia	SR-4	Boston College	6:06.9	22:48.0	45
46	Kompelien, Emily	FR-1	Brown	6:07.1	22:48.9	46
