"272     1     1  Rachel McArthur, So            2    11:07     21:03    5:38  Villanova            "
"   61     2     2  Grace Mancini, Jr              6    11:08     21:09    5:40  La Salle             "
"  268     3     3  Caroline Alcorta, Sr           1    11:07     21:12    5:41  Villanova            "
"  156     4     4  Madeline Villalba, Jr         19    11:12     21:15    5:42  Penn                 "
"  271     5     5  Nicole Hutchinson, Sr          3    11:07     21:20    5:43  Villanova            "
"  167     6     6  Alison Willingmyre, So        10    11:09     21:22    5:43  Penn State           "
"  164     7     7  Danae Rivers, So              23    11:14     21:22    5:44  Penn State           "
"  181     8     8  Sophie Cantine, So             7    11:09     21:24    5:44  Princeton            "
"  273     9     9  Lydia Olivere, Fr             20    11:12     21:25    5:44  Villanova            "
"  177    10    10  Sam Shields, Jr                8    11:09     21:29    5:45  Pittsburgh           "
"  190    11    11  Madison Offstein, Sr          17    11:11     21:33    5:46  Princeton            "
"  184    12    12  Alie Fordyce, Sr              18    11:11     21:34    5:47  Princeton            "
"  186    13    13  Allie Klimkiewicz, Sr         15    11:11     21:34    5:47  Princeton            "
"  103    14    14  Emily Bracher, Sr             22    11:13     21:34    5:47  Maryland             "
"  274    15    15  Taryn O'Neill, Fr              9    11:09     21:34    5:47  Villanova            "
"   51    16    16  Paige Hofstad, So              4    11:07     21:37    5:48  Georgetown           "
"  154    17    17  Danielle Orie, So              5    11:08     21:39    5:48  Penn                 "
"  160    18    18  Kathryn Munks, Jr             25    11:16     21:40    5:48  Penn State           "
"   11    19    19  Colleen Buckley, Sr           13    11:10     21:42    5:49  Bucknell             "
"  183    20    20  Melia Chittenden, So          16    11:11     21:42    5:49  Princeton            "
"  246    21    21  Grace Moore, Jr               30    11:23     21:44    5:49  Temple               "
"  250    22    22  Kira Von Ehren, Jr            36    11:25     21:45    5:50  Temple               "
"   39    23    23  Suzanne Dannheim, Jr          21    11:13     21:45    5:50  George Washington    "
"  275    24    24  Reilly Seibert, Fr            12    11:10     21:46    5:50  Villanova            "
"  162    25    25  Moria O'Shea, Fr              71    11:40     21:48    5:50  Penn State           "
"   47    26    26  Margie Cullen, Jr             58    11:36     21:49    5:51  Georgetown           "
"  189    27    27  Page Lester, Fr               11    11:09     21:49    5:51  Princeton            "
"    6    28    28  Adriana Hooks, Sr             27    11:18     21:51    5:51  American             "
"  244    29    29  Michelle Joyce, So            38    11:27     21:51    5:51  Temple               "
"   60    30    30  Elizabeth Mancini, Fr         34    11:24     21:52    5:52  La Salle             "
"  191    31    31  Gillian Wagner, Fr            14    11:10     21:52    5:52  Princeton            "
"  149    32    32  Nia Akins, Jr                 35    11:25     21:53    5:52  Penn                 "
"  285    33    33  Charlotte Wood, Fr            31    11:23     21:54    5:52  West Virginia        "
"  270    34    34  Ann Campbell, Jr              26    11:17     21:59    5:54  Villanova            "
"  163    35    35  Julia Paternain, Fr           24    11:16     22:03    5:55  Penn State           "
"   10    36    36  Ashley Blair, So              39    11:28     22:06    5:55  Bucknell             "
"  202    37    37  Olympia Martin, So            40    11:28     22:06    5:55  Rutgers              "
"  136    38    38  Ali Valenti, Sr               37    11:26     22:07    5:56  Navy                 "
"  279    39    39  Olivia Hill, Jr               32    11:23     22:08    5:56  West Virginia        "
