Race,Place,Bib Number,Name,School,1k,2k,3k,4k,5k,Finish,Total Time,Pace
Great Lakes Regional,1,491,Alicia Monson (JR),Wisconsin (WISC),3:16,3:25,3:28,3:21,3:22,3:20,20:13.4,5:25
Great Lakes Regional,2,325,Anna Rohrer (JR),Notre Dame (ND),3:15,3:25,3:28,3:21,3:22,3:27,20:20.1,5:27
Great Lakes Regional,3,276,Anne Forsyth (FR),Michigan (MICH),3:17,3:28,3:33,3:25,3:24,3:23,20:32.5,5:30
Great Lakes Regional,4,275,Avery Evenson (SR),Michigan (MICH),3:17,3:28,3:33,3:25,3:26,3:24,20:36.1,5:32
Great Lakes Regional,5,298,Annie Fuller (JR),Michigan State (MIST),3:19,3:29,3:33,3:27,3:26,3:23,20:41.1,5:33
Great Lakes Regional,6,319,Jacqueline Gaughan (FR),Notre Dame (ND),3:17,3:24,3:31,3:27,3:29,3:32,20:42.4,5:33
Great Lakes Regional,7,413,Emma Rafuse (SR),Purdue Fort Wayne (PFW),3:16,3:26,3:32,3:28,3:30,3:28,20:43.5,5:33
Great Lakes Regional,8,174,Margaret Allen (SR),Indiana (IU),3:17,3:29,3:33,3:25,3:26,3:32,20:44.3,5:34
Great Lakes Regional,9,281,Hannah Meier (SR),Michigan (MICH),3:17,3:30,3:34,3:29,3:31,3:23,20:47.3,5:34
Great Lakes Regional,10,141,Sydney Meyers (SR),Eastern Michigan (EMU),3:20,3:28,3:34,3:25,3:28,3:29,20:47.5,5:34
Great Lakes Regional,11,488,Amy Davis (JR),Wisconsin (WISC),3:16,3:24,3:31,3:27,3:30,3:36,20:48.3,5:35
Great Lakes Regional,12,297,Maggie Farrell (SO),Michigan State (MIST),3:17,3:28,3:33,3:26,3:31,3:34,20:51.5,5:36
Great Lakes Regional,13,302,Erin McDonald (SR),Michigan State (MIST),3:17,3:28,3:33,3:25,3:31,3:34,20:52.2,5:36
Great Lakes Regional,14,274,Camille Davre (FR),Michigan (MICH),3:19,3:29,3:34,3:29,3:28,3:32,20:53.2,5:36
Great Lakes Regional,15,137,Natalie Cizmas (SR),Eastern Michigan (EMU),3:20,3:29,3:33,3:28,3:30,3:32,20:53.9,5:36
Great Lakes Regional,16,272,Claire Borchers (SR),Michigan (MICH),3:18,3:30,3:33,3:30,3:30,3:30,20:54.8,5:36
Great Lakes Regional,17,430,Athena Welsh (JR),Toledo (TOLE),3:17,3:27,3:35,3:26,3:34,3:34,20:55.2,5:37
Great Lakes Regional,18,494,Shaelyn Sorensen (SR),Wisconsin (WISC),3:22,3:30,3:33,3:27,3:29,3:33,20:56.2,5:37
Great Lakes Regional,19,181,Katherine Receveur (SR),Indiana (IU),3:17,3:28,3:33,3:26,3:36,3:34,20:56.6,5:37
Great Lakes Regional,20,317,Rachel DaDamio (SR),Notre Dame (ND),3:17,3:29,3:36,3:29,3:32,3:31,20:57.5,5:37
Great Lakes Regional,21,320,Jessica Harris (SR),Notre Dame (ND),3:19,3:29,3:34,3:28,3:32,3:32,20:58.1,5:37
Great Lakes Regional,22,303,Jeralyn Poe (JR),Michigan State (MIST),3:19,3:29,3:35,3:29,3:32,3:31,20:59.1,5:38
Great Lakes Regional,23,31,Rachel Walny (SR),Bowling Green (BGSU),3:18,3:30,3:35,3:29,3:32,3:33,21:00.1,5:38
Great Lakes Regional,24,65,Megan O'Neil (SR),Central Michigan (CMU),3:17,3:29,3:33,3:33,3:37,3:31,21:02.3,5:38
Great Lakes Regional,25,492,Alissa Niggemann (SO),Wisconsin (WISC),3:23,3:29,3:33,3:27,3:33,3:36,21:03.9,5:39
Great Lakes Regional,26,379,Emily Stoodley (SR),Ohio State (OHST),3:17,3:28,3:33,3:29,3:35,3:39,21:04.9,5:39
Great Lakes Regional,27,487,Lucinda Crouch (FR),Wisconsin (WISC),3:23,3:29,3:34,3:27,3:37,3:34,21:05.9,5:39
