South Region,1,,Mircheva,20:16.9,,Florida State,20,17
South Region,2,,Pascoe,20:23.6,,Florida,20,24
South Region,3,,Drop,20:29.4,,Georgia,20,29
South Region,4,,Kimeli,20:33.1,,Auburn,20,33
South Region,5,,Ozanne-Jaques,20:34.1,,Ole Miss,20,34
South Region,6,,Bergh,20:40.5,,Florida,20,41
South Region,7,,Sanga,20:43.0,,Tennessee Tech,20,43
South Region,8,,Funderburk,20:43.4,,Florida State,20,43
South Region,9,,Hull,20:51.7,,Florida,20,52
South Region,10,,Murray,20:56.8,,Tennessee,20,57
South Region,11,,Skyring,20:58.2,,Florida State,20,58
South Region,12,,Kosgei,20:58.8,,Mid. Tenn State,20,59
South Region,13,,Szpott,20:59.1,,Southern Miss.,20,59
South Region,14,,Vogelgesang,21:00.3,,Ole Miss,21,0
South Region,15,,Ruiz,21:03.4,,Georgia Tech,21,3
South Region,16,,Lutzow,21:03.8,,FGC,21,4
South Region,17,,Walker,21:05.8,,Vanderbilt,21,6
South Region,18,,Mooney,21:06.7,,Florida State,21,7
South Region,19,,Brenner,21:09.4,,Lipscomb,21,9
South Region,20,,King,21:09.9,,Ole Miss,21,10
South Region,21,,Barrett,21:10.9,,Florida,21,11
South Region,22,,Herndon,21:12.2,,Georgia Tech,21,12
South Region,23,,Tavani,21:12.3,,Georgia,21,12
South Region,24,,Judd,21:12.4,,Florida State,21,12
South Region,25,,Traxler,21:12.8,,Ole Miss,21,13
South Region,26,,McHugh,21:12.9,,Ole Miss,21,13
South Region,27,,Branch,21:13.9,,Georgia,21,14
South Region,28,,McQuilkin-Bell,21:16.4,,Florida,21,16
South Region,29,,Gitahi,21:16.7,,Alabama,21,17
South Region,30,,Fegans,21:17.3,,Georgia Tech,21,17
South Region,31,,Chepkemei,21:19.5,,Mid. Tenn State,21,19
South Region,32,,Cheruiyot,21:21.3,,South Alabama,21,21
South Region,33,,Thronson,21:22.1,,Tennessee,21,22
South Region,34,,Tsai,21:22.6,,Vanderbilt,21,23
South Region,35,,Mattox,21:24.1,,Southern Miss.,21,24
South Region,36,,Jebor,21:28.0,,Mid. Tenn State,21,28
South Region,37,,Elkin,21:31.7,,Ole Miss,21,32
South Region,38,,Sapienza-Wright,21:33.0,,Vanderbilt,21,33
South Region,39,,Yanek,21:33.4,,Alabama,21,33
South Region,40,,Galarza,21:34.2,,Georgia Tech,21,34
South Region,41,,Meydrich,21:34.6,,Miss State,21,35
South Region,42,,Kingma,21:35.0,,Lipscomb,21,35
South Region,43,,Gollnick,21:35.6,,Georgia Tech,21,36
South Region,44,,PoOle Miss,21:35.9,,Chattanooga,21,36
South Region,45,,Schardt,21:36.7,,Belmont,21,37
South Region,46,,Meske,21:37.6,,Tennessee,21,38
South Region,47,,Fair,21:39.8,,Miss State,21,40
South Region,48,,Flynt,21:40.0,,Lipscomb,21,40
South Region,49,,Hewitt,21:41.2,,Florida State,21,41
South Region,50,,Buteau,21:41.9,,Alabama,21,42
South Region,51,,Pietrzyk,21:42.8,,Vanderbilt,21,43
South Region,52,,Stallworth,21:43.8,,East Tenn St,21,44
